id,cluster,umap_x,umap_y
NG_065155.1,2,-2.655171,5.40877
NG_065153.1,2,-1.5246855,5.4599524
NG_062683.1,2,-2.1481187,5.216364
NG_063110.1,-1,-1.4627379,-4.149202
NG_063111.1,-1,-1.4670339,-4.152585
NG_065156.1,2,-2.7029455,5.511788
NG_061033.1,2,-1.9402819,5.4048305
NG_061032.1,2,-0.081462964,13.721147
NG_061105.1,2,-2.3132586,11.472509
NG_062443.1,2,3.0781884,14.318303
NG_062140.1,2,-0.71240973,14.370239
NG_063521.1,2,-0.7681852,14.22791
NG_063522.1,2,-0.4405883,14.960378
NG_063524.1,2,-0.6540379,14.4192
NG_061034.1,2,-0.8402482,15.691679
NG_062141.1,2,-0.82943946,15.71846
NG_063101.1,2,-0.05468567,11.663026
NG_063102.1,2,-0.41949517,11.171652
NG_065802.1,2,-0.13563335,11.433189
NG_065154.1,2,-1.9670465,10.699374
NG_065157.1,2,-4.2465887,17.681583
NG_065803.1,2,3.067778,14.2641
NG_065158.1,2,2.8278215,16.14819
NG_062444.1,2,3.0703287,14.179837
NG_070788.1,2,-0.056763563,13.753239
NG_063529.1,2,-0.48330754,14.773843
NG_063530.1,2,-0.445854,14.881071
NG_061040.1,2,-0.36053088,14.918064
NG_063531.1,2,-0.60283387,14.551646
NG_063532.1,2,-0.48858014,14.764149
NG_061036.1,2,-0.7091231,14.552294
NG_061037.1,2,-0.111146994,12.268006
NG_063105.1,2,3.0672839,14.175461
NG_063104.1,2,3.007195,16.133242
NG_063108.1,2,2.839167,16.137045
NG_063107.1,2,3.0668843,15.737319
NG_070799.1,2,2.8797984,16.164297
NG_065159.1,2,2.9372964,16.11886
NG_061300.1,2,2.864415,16.123701
NG_062442.1,2,3.028496,15.596342
NG_017185.1,2,1.5595627,17.082388
NG_061005.1,2,-0.2002536,15.54825
NG_017187.1,2,-0.09014696,15.5576315
NG_063391.1,2,-2.207185,10.976522
NG_064803.1,2,-2.2809203,11.040067
NG_064804.1,2,-2.2033808,10.9367075
NG_062120.1,2,2.957702,15.18361
NG_063109.1,2,2.504638,17.37514
NG_063099.1,2,-1.3905206,11.852706
NG_064800.1,2,-1.9803358,4.5461884
NG_065466.1,2,-0.36971688,16.402178
NG_062593.1,2,2.796857,15.043969
NG_062594.1,2,-0.37049136,16.458414
NG_062595.1,2,-0.3730154,16.466227
NG_062596.1,2,-0.3653689,16.446226
NG_062597.1,2,-0.36187652,16.404293
NG_062598.1,2,-0.369946,16.457338
NG_062599.1,2,-0.34981418,16.44224
NG_063387.1,2,-1.9602898,11.773093
NG_062625.1,2,-1.0082098,15.221323
NG_063385.1,2,-0.7091242,14.282947
NG_063386.1,2,-0.7165444,14.274051
NG_062008.1,2,-0.67001534,14.3769655
NG_062009.1,2,-0.67519933,14.293466
NG_062119.1,2,-0.0040053315,12.181585
NG_063390.1,2,-1.0486531,12.105775
NG_063392.1,2,0.99782073,14.988787
NG_065467.1,2,1.021777,14.928567
NG_062011.1,2,2.711079,15.182686
NG_063394.1,2,1.9659519,16.98549
NG_065468.1,2,1.0633204,15.078991
NG_062012.1,2,1.5200665,16.519554
NG_062013.1,2,1.5161816,16.545404
NG_063395.1,2,1.5938475,17.090946
NG_063396.1,2,1.8421646,17.00223
NG_242362.1,2,1.7895226,17.28115
NG_063397.1,2,1.7938341,17.208868
NG_063398.1,2,1.8548411,17.024855
NG_062014.1,2,1.4837363,16.540312
NG_062015.1,2,1.4865899,16.545752
NG_063399.1,2,1.8790474,16.873356
NG_063400.1,2,1.8741418,16.87477
NG_062016.1,2,1.6059074,16.57608
NG_062017.1,2,2.827514,14.87959
